"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2026","97.351","96.546","98.370","94.386","5.19M","0.96%"
"05/10/2026","96.421","93.138","96.881","92.602","4.16M","3.53%"
"05/09/2026","93.137","92.018","94.069","91.860","2.81M","1.24%"
"05/08/2026","91.995","88.424","92.767","87.694","3.60M","4.03%"
"05/07/2026","88.431","89.205","90.375","87.675","4.12M","-0.82%"
"05/06/2026","89.159","86.353","89.972","86.117","5.01M","3.31%"
"05/05/2026","86.305","84.063","86.967","84.050","3.69M","2.62%"
"05/04/2026","84.104","83.831","85.859","83.314","4.81M","0.24%"
"05/03/2026","83.906","84.297","84.832","83.579","1.74M","-0.43%"
"05/02/2026","84.267","83.768","84.933","83.451","1.46M","0.61%"
"05/01/2026","83.757","83.137","84.788","83.132","2.78M","0.83%"
"04/30/2026","83.065","83.106","83.964","82.207","3.59M","0.03%"
"04/29/2026","83.041","84.073","85.529","81.461","4.05M","-1.20%"
"04/28/2026","84.053","84.731","84.927","83.003","2.55M","-0.89%"
"04/27/2026","84.807","87.062","88.057","83.755","4.51M","-2.44%"
"04/26/2026","86.927","86.176","87.215","85.862","2.09M","0.86%"
"04/25/2026","86.185","86.183","86.802","85.590","1.47M","-0.02%"
"04/24/2026","86.202","86.183","86.927","84.987","3.34M","0.08%"
"04/23/2026","86.130","86.984","87.078","84.512","4.48M","-0.85%"
"04/22/2026","86.868","86.051","89.309","86.040","4.80M","0.96%"
"04/21/2026","86.045","85.303","86.809","84.340","3.58M","0.89%"
"04/20/2026","85.282","83.421","86.186","83.416","3.45M","2.16%"
"04/19/2026","83.477","86.171","87.067","83.041","3.95M","-3.10%"
"04/18/2026","86.148","88.918","89.159","85.866","2.78M","-3.03%"
"04/17/2026","88.839","89.118","90.669","87.432","6.27M","-0.25%"
"04/16/2026","89.063","84.927","90.379","83.932","5.88M","4.91%"
"04/15/2026","84.893","83.774","85.769","82.687","4.07M","1.36%"
"04/14/2026","83.751","86.625","87.597","83.329","5.36M","-3.25%"
"04/13/2026","86.569","81.452","86.728","81.452","4.66M","6.17%"
"04/12/2026","81.538","84.889","85.001","81.330","3.23M","-3.99%"
"04/11/2026","84.931","84.841","86.166","83.871","2.24M","0.13%"
"04/10/2026","84.822","83.312","85.535","82.731","3.25M","1.80%"
"04/09/2026","83.325","82.505","85.712","81.472","4.13M","0.88%"
"04/08/2026","82.600","85.759","85.845","82.318","4.41M","-3.52%"
"04/07/2026","85.613","80.090","86.910","78.389","6.87M","6.98%"
"04/06/2026","80.029","82.529","83.051","79.684","4.16M","-2.23%"
"04/05/2026","81.852","80.833","82.045","78.571","2.71M","1.28%"
"04/04/2026","80.819","80.373","81.496","79.647","2.18M","0.52%"
"04/03/2026","80.397","78.975","80.635","78.893","3.30M","1.85%"
"04/02/2026","78.938","81.180","81.760","76.767","6.44M","-2.76%"
"04/01/2026","81.183","83.041","86.540","80.825","6.51M","-2.39%"
"03/31/2026","83.171","82.488","84.405","80.219","6.40M","0.80%"
"03/30/2026","82.509","81.475","84.873","81.168","4.58M","1.35%"
"03/29/2026","81.408","82.083","83.140","79.364","2.47M","-0.80%"
"03/28/2026","82.068","83.026","84.137","81.822","2.44M","-1.24%"
"03/27/2026","83.102","86.458","86.997","81.911","4.51M","-3.95%"
"03/26/2026","86.516","91.664","91.962","85.469","5.03M","-5.65%"
"03/25/2026","91.699","90.799","93.377","90.799","4.04M","1.01%"
"03/24/2026","90.785","91.646","92.167","88.476","4.78M","-0.73%"
"03/23/2026","91.454","86.348","92.221","85.162","6.72M","6.09%"
"03/22/2026","86.207","87.149","89.156","85.266","3.11M","-1.43%"
"03/21/2026","87.461","89.910","90.798","87.226","1.86M","-2.64%"
"03/20/2026","89.833","88.944","90.374","88.135","3.18M","1.07%"
"03/19/2026","88.878","90.004","91.373","87.136","3.99M","-1.32%"
"03/18/2026","90.069","94.717","95.573","88.632","4.96M","-4.80%"
"03/17/2026","94.615","95.844","96.851","93.247","4.29M","-1.61%"
"03/16/2026","96.162","92.693","97.579","91.188","8.17M","4.13%"
"03/15/2026","92.344","88.029","93.156","87.406","3.79M","4.92%"
"03/14/2026","88.017","88.091","88.694","86.564","2.03M","-0.20%"
"03/13/2026","88.196","86.789","92.949","86.734","7.47M","1.61%"
"03/12/2026","86.802","86.622","87.646","84.737","4.23M","0.27%"
"03/11/2026","86.571","85.757","88.042","84.382","4.88M","0.81%"
"03/10/2026","85.873","84.886","88.733","84.846","5.14M","1.07%"
"03/09/2026","84.962","81.616","87.012","81.589","5.50M","4.13%"
"03/08/2026","81.593","83.291","84.079","80.394","3.07M","-1.92%"
"03/07/2026","83.193","84.677","85.067","82.378","2.14M","-1.77%"
"03/06/2026","84.690","88.820","89.278","83.684","5.20M","-4.58%"
"03/05/2026","88.756","90.959","92.914","87.969","5.52M","-2.34%"
"03/04/2026","90.883","86.918","93.936","84.832","9.74M","4.48%"
"03/03/2026","86.985","86.597","87.377","82.681","6.95M","0.48%"
"03/02/2026","86.571","83.583","90.092","82.440","8.28M","3.58%"
"03/01/2026","83.581","84.541","88.711","81.727","6.84M","-0.90%"
"02/28/2026","84.341","81.857","85.488","77.230","7.32M","3.02%"
"02/27/2026","81.871","85.914","88.169","80.585","5.56M","-4.67%"
"02/26/2026","85.881","88.014","89.219","84.407","5.57M","-2.37%"
"02/25/2026","87.964","78.996","91.764","78.744","8.95M","11.37%"
"02/24/2026","78.985","78.117","79.601","75.751","5.47M","1.40%"
"02/23/2026","77.892","82.733","82.821","77.220","7.65M","-5.88%"
"02/22/2026","82.754","85.096","85.556","82.507","2.67M","-2.87%"
"02/21/2026","85.196","84.636","86.705","83.997","2.55M","0.63%"
"02/20/2026","84.664","82.422","85.422","81.811","5.69M","2.64%"
"02/19/2026","82.483","81.572","82.643","79.697","4.16M","1.08%"
"02/18/2026","81.601","85.071","86.008","80.552","4.67M","-4.06%"
"02/17/2026","85.057","86.439","87.640","82.958","4.33M","-1.61%"
"02/16/2026","86.450","86.110","86.818","82.622","5.38M","0.35%"
"02/15/2026","86.148","88.007","91.194","84.939","6.26M","-2.18%"
"02/14/2026","88.065","84.314","88.805","84.223","4.29M","4.43%"
"02/13/2026","84.333","78.422","85.533","77.517","5.62M","7.64%"
"02/12/2026","78.344","79.347","82.203","76.591","5.64M","-1.18%"
"02/11/2026","79.276","82.963","84.346","78.162","6.41M","-4.42%"
"02/10/2026","82.943","86.830","87.432","81.967","4.77M","-4.38%"
"02/09/2026","86.743","87.075","88.625","82.882","6.10M","-0.24%"
"02/08/2026","86.952","87.447","88.869","85.827","4.19M","-0.83%"
"02/07/2026","87.680","86.823","89.137","84.240","7.50M","0.29%"
"02/06/2026","87.427","78.333","89.626","68.043","20.07M","11.84%"
"02/05/2026","78.173","92.023","93.189","77.757","18.08M","-15.06%"
"02/04/2026","92.031","97.572","99.572","89.635","11.00M","-5.78%"
"02/03/2026","97.681","104.409","105.024","96.690","7.55M","-6.49%"
"02/02/2026","104.458","100.799","105.957","96.353","9.44M","3.76%"
"02/01/2026","100.673","105.388","106.424","98.134","7.03M","-4.58%"
"01/31/2026","105.508","117.544","118.789","98.101","13.59M","-10.23%"
"01/30/2026","117.528","117.852","119.037","112.810","7.52M","-0.20%"
"01/29/2026","117.766","125.370","125.422","115.433","5.84M","-5.97%"
"01/28/2026","125.250","127.149","128.147","124.811","3.13M","-1.49%"
"01/27/2026","127.149","124.149","127.783","123.121","3.13M","2.38%"
"01/26/2026","124.197","118.647","125.395","118.626","4.01M","4.49%"
"01/25/2026","118.856","127.224","127.407","117.453","6.37M","-6.54%"
"01/24/2026","127.167","127.428","128.071","126.639","1.14M","-0.19%"
"01/23/2026","127.411","128.423","130.115","125.365","3.06M","-0.80%"
"01/22/2026","128.439","129.708","130.847","126.876","2.86M","-0.82%"
"01/21/2026","129.503","126.057","131.796","125.363","5.07M","2.99%"
"01/20/2026","125.746","133.444","134.545","124.919","5.96M","-5.76%"
"01/19/2026","133.427","133.220","135.136","130.521","4.69M","-3.23%"
"01/18/2026","137.877","143.704","143.948","137.877","2.78M","-4.10%"
"01/17/2026","143.771","144.908","144.908","143.458","1.37M","-0.78%"
"01/16/2026","144.895","142.332","145.518","140.294","3.09M","1.76%"
"01/15/2026","142.391","146.504","146.531","141.043","4.00M","-2.92%"
"01/14/2026","146.678","145.716","148.326","143.528","5.77M","0.83%"
"01/13/2026","145.465","139.119","147.636","137.822","6.35M","4.51%"
"01/12/2026","139.187","139.384","144.296","138.385","6.37M","-0.29%"
"01/11/2026","139.591","135.790","141.343","135.730","3.43M","2.78%"
"01/10/2026","135.813","135.899","136.981","135.374","1.44M","-0.07%"
"01/09/2026","135.906","138.447","141.031","135.061","5.49M","-1.76%"
"01/08/2026","138.346","136.238","139.993","132.795","4.78M","1.45%"
"01/07/2026","136.367","140.851","141.281","134.524","3.76M","-3.32%"
"01/06/2026","141.056","137.991","143.287","136.485","5.71M","2.29%"
"01/05/2026","137.900","134.557","139.620","133.264","4.86M","2.79%"
"01/04/2026","134.152","133.329","135.434","133.159","2.81M","0.60%"
"01/03/2026","133.349","132.346","133.849","129.765","2.34M","0.84%"
"01/02/2026","132.245","127.049","133.164","125.866","4.79M","4.24%"
"01/01/2026","126.863","124.578","127.163","124.209","2.50M","1.83%"
"12/31/2025","124.586","124.762","127.225","123.576","4.45M","-0.33%"
"12/30/2025","124.997","123.191","126.434","122.576","3.52M","1.40%"
"12/29/2025","123.273","125.122","129.815","122.409","6.15M","-1.56%"
"12/28/2025","125.226","124.804","125.559","123.090","2.30M","0.43%"
"12/27/2025","124.694","122.264","124.969","121.875","1.90M","2.00%"
"12/26/2025","122.251","119.967","125.048","119.451","4.78M","1.84%"
"12/25/2025","120.046","122.417","124.335","119.876","2.50M","-2.00%"
"12/24/2025","122.495","124.199","124.254","120.641","2.67M","-1.18%"
"12/23/2025","123.960","125.793","126.868","122.208","3.58M","-1.50%"
"12/22/2025","125.853","126.082","128.645","124.295","4.03M","-0.14%"
"12/21/2025","126.028","125.781","126.585","123.508","2.65M","0.18%"
"12/20/2025","125.797","126.303","126.857","125.339","2.06M","-0.36%"
"12/19/2025","126.257","119.542","127.767","117.699","5.86M","5.57%"
"12/18/2025","119.597","123.207","128.913","117.123","7.21M","-2.93%"
"12/17/2025","123.204","128.922","133.895","121.447","6.74M","-4.68%"
"12/16/2025","129.258","127.602","130.035","125.015","4.54M","1.14%"
"12/15/2025","127.798","129.710","135.067","123.765","6.07M","-1.18%"
"12/14/2025","129.321","132.991","133.627","128.529","2.66M","-2.88%"
"12/13/2025","133.155","132.334","134.268","131.721","2.13M","0.67%"
"12/12/2025","132.268","136.636","140.066","130.382","7.29M","-3.02%"
"12/11/2025","136.394","136.253","137.742","129.123","7.40M","0.10%"
"12/10/2025","136.259","137.978","142.518","135.565","6.71M","-1.22%"
"12/09/2025","137.937","133.150","144.872","131.736","6.39M","3.52%"
"12/08/2025","133.248","131.725","139.320","131.584","4.88M","0.74%"
"12/07/2025","132.264","132.126","136.301","127.965","4.25M","0.04%"
"12/06/2025","132.208","133.055","134.082","131.353","1.97M","-0.82%"
"12/05/2025","133.300","139.039","140.466","130.908","4.95M","-4.11%"
"12/04/2025","139.017","144.817","146.778","137.938","5.03M","-3.91%"
"12/03/2025","144.677","138.837","145.932","137.823","5.94M","4.37%"
"12/02/2025","138.621","126.702","140.800","126.021","7.12M","9.38%"
"12/01/2025","126.730","133.646","133.646","123.214","7.77M","-5.05%"
"11/30/2025","133.470","135.999","140.112","133.356","3.63M","-1.80%"
"11/29/2025","135.922","137.454","138.004","134.908","2.51M","-1.03%"
"11/28/2025","137.330","140.803","143.549","136.151","5.12M","-2.49%"
"11/27/2025","140.844","143.110","144.235","140.525","3.49M","-1.54%"
"11/26/2025","143.052","139.026","144.635","135.503","6.09M","2.96%"
"11/25/2025","138.935","138.233","140.457","133.216","4.95M","0.32%"
"11/24/2025","138.491","130.420","139.757","128.510","7.23M","5.90%"
"11/23/2025","130.773","127.646","133.468","127.646","4.25M","2.49%"
"11/22/2025","127.600","128.575","129.867","125.241","4.05M","-0.83%"
"11/21/2025","128.663","133.867","134.981","121.922","13.23M","-3.68%"
"11/20/2025","133.583","136.895","144.659","131.259","11.10M","-2.50%"
"11/19/2025","137.005","140.504","142.762","130.609","6.76M","-2.60%"
"11/18/2025","140.667","130.656","142.029","129.195","8.32M","7.40%"
"11/17/2025","130.980","137.075","142.677","128.829","8.19M","-4.50%"
"11/16/2025","137.156","139.555","143.245","134.543","4.92M","-1.73%"
"11/15/2025","139.574","139.463","144.275","138.649","3.37M","0.49%"
"11/14/2025","138.890","144.747","145.579","135.833","8.87M","-4.07%"
"11/13/2025","144.787","153.303","157.164","141.196","7.81M","-5.60%"
"11/12/2025","153.383","155.019","161.091","151.245","5.72M","-0.78%"
"11/11/2025","154.593","167.424","171.887","154.122","6.35M","-7.60%"
"11/10/2025","167.304","164.231","170.335","163.489","5.04M","1.67%"
"11/09/2025","164.553","157.799","166.395","155.271","4.41M","4.14%"
"11/08/2025","158.018","162.033","164.823","155.949","3.46M","-2.32%"
"11/07/2025","161.768","155.239","164.296","149.985","6.28M","4.18%"
"11/06/2025","155.271","161.829","162.828","153.483","5.31M","-4.38%"
"11/05/2025","162.381","155.013","163.897","147.389","7.20M","4.71%"
"11/04/2025","155.071","165.643","168.354","146.491","12.37M","-6.61%"
"11/03/2025","166.050","187.618","188.982","163.486","10.04M","-11.60%"
"11/02/2025","187.846","186.294","188.280","182.329","2.42M","0.80%"
"11/01/2025","186.350","187.258","187.496","183.952","2.08M","-0.45%"
"10/31/2025","187.189","184.336","190.150","183.800","4.68M","1.36%"
"10/30/2025","184.672","193.788","198.105","178.890","7.04M","-4.79%"
"10/29/2025","193.954","194.054","201.617","190.172","6.35M","-0.13%"
"10/28/2025","194.201","198.767","203.920","190.781","5.85M","-2.26%"
"10/27/2025","198.700","199.691","205.176","197.375","4.71M","-0.67%"
"10/26/2025","200.048","193.764","201.448","192.077","3.43M","3.19%"
"10/25/2025","193.872","193.481","195.214","191.543","2.03M","0.14%"
"10/24/2025","193.609","191.573","195.963","188.870","4.58M","1.20%"
"10/23/2025","191.320","180.083","193.435","179.747","4.85M","6.22%"
"10/22/2025","180.112","185.627","187.357","177.457","5.89M","-2.94%"
"10/21/2025","185.564","189.492","197.599","182.814","6.59M","-2.19%"
"10/20/2025","189.713","187.675","194.308","183.900","4.37M","0.95%"
"10/19/2025","187.924","187.787","192.174","183.277","3.66M","0.17%"
"10/18/2025","187.603","182.277","188.215","181.883","3.08M","3.08%"
"10/17/2025","182.003","184.542","187.440","174.398","9.57M","-1.52%"
"10/16/2025","184.820","194.048","198.078","182.089","8.69M","-4.64%"
"10/15/2025","193.805","202.438","208.783","192.335","8.25M","-4.24%"
"10/14/2025","202.387","208.728","211.073","191.354","12.22M","-3.02%"
"10/13/2025","208.692","196.528","209.183","191.109","9.50M","5.80%"
"10/12/2025","197.244","177.240","198.859","173.147","11.44M","11.01%"
"10/11/2025","177.688","187.877","190.963","172.776","12.58M","-5.88%"
"10/10/2025","188.781","220.868","224.378","172.704","16.14M","-14.56%"
"10/09/2025","220.949","229.148","229.374","217.113","5.49M","-3.52%"
"10/08/2025","229.012","220.271","229.645","217.637","5.23M","4.13%"
"10/07/2025","219.927","232.296","235.121","219.916","7.41M","-5.39%"
"10/06/2025","232.451","228.363","237.633","227.571","5.37M","1.70%"
"10/05/2025","228.559","228.030","236.930","226.647","4.73M","0.28%"
"10/04/2025","227.925","232.902","234.017","224.269","2.93M","-2.10%"
"10/03/2025","232.820","234.086","236.826","227.322","7.01M","-0.80%"
"10/02/2025","234.695","221.716","234.865","219.615","7.48M","5.68%"
"10/01/2025","222.076","209.099","222.290","206.466","6.46M","6.43%"
"09/30/2025","208.663","212.680","213.675","204.332","5.31M","-1.94%"
"09/29/2025","212.791","210.689","214.726","204.753","5.23M","0.92%"
"09/28/2025","210.848","203.435","210.916","198.064","3.48M","3.62%"
"09/27/2025","203.476","204.615","205.407","199.999","3.18M","-0.83%"
"09/26/2025","205.174","192.875","205.461","190.919","9.88M","6.53%"
"09/25/2025","192.599","211.459","212.423","191.783","11.28M","-8.99%"
"09/24/2025","211.623","213.693","216.441","205.755","6.70M","-0.79%"
"09/23/2025","213.309","220.329","221.360","212.551","5.17M","-3.23%"
"09/22/2025","220.419","236.021","236.896","216.568","9.03M","-6.70%"
"09/21/2025","236.249","239.402","241.773","235.409","2.03M","-1.36%"
"09/20/2025","239.504","238.520","241.126","236.974","2.17M","0.41%"
"09/19/2025","238.537","247.897","248.541","235.458","5.16M","-3.64%"
"09/18/2025","247.553","244.666","253.379","242.616","6.20M","1.13%"
"09/17/2025","244.795","236.726","246.544","232.384","7.25M","3.31%"
"09/16/2025","236.946","234.218","240.899","231.403","5.18M","1.11%"
"09/15/2025","234.352","240.089","243.997","230.259","7.41M","-2.31%"
"09/14/2025","239.896","242.484","249.543","239.621","6.74M","-1.03%"
"09/13/2025","242.403","242.043","244.143","236.145","5.42M","0.07%"
"09/12/2025","242.226","228.655","243.867","228.146","9.59M","5.92%"
"09/11/2025","228.692","224.098","228.913","221.744","6.33M","2.05%"
"09/10/2025","224.095","217.479","225.734","215.145","7.24M","3.19%"
"09/09/2025","217.177","214.344","219.723","210.934","7.19M","1.43%"
"09/08/2025","214.122","206.280","217.014","205.655","8.36M","3.75%"
"09/07/2025","206.390","200.174","207.904","200.148","3.32M","3.10%"
"09/06/2025","200.176","203.229","204.633","199.491","2.29M","-1.57%"
"09/05/2025","203.365","202.546","210.000","201.085","6.12M","0.51%"
"09/04/2025","202.327","210.832","211.931","201.912","4.06M","-4.02%"
"09/03/2025","210.803","209.370","212.938","207.454","5.70M","0.57%"
"09/02/2025","209.604","197.142","209.604","196.824","7.51M","6.26%"
"09/01/2025","197.249","200.373","204.427","194.216","6.48M","-1.71%"
"08/31/2025","200.675","202.859","206.579","200.363","4.48M","-1.00%"
"08/30/2025","202.710","204.772","207.018","197.654","5.29M","-1.08%"
"08/29/2025","204.927","214.358","217.927","200.032","13.22M","-4.43%"
"08/28/2025","214.421","203.284","216.455","201.773","11.51M","5.69%"
"08/27/2025","202.877","195.794","212.022","193.861","12.40M","3.60%"
"08/26/2025","195.835","186.867","198.046","185.804","7.60M","4.62%"
"08/25/2025","187.192","206.146","213.382","185.637","12.69M","-9.07%"
"08/24/2025","205.871","204.434","211.921","201.552","10.94M","0.85%"
"08/23/2025","204.144","200.697","208.296","195.296","7.50M","1.72%"
"08/22/2025","200.688","180.648","202.079","177.391","9.99M","11.31%"
"08/21/2025","180.291","187.858","189.938","179.469","5.13M","-4.07%"
"08/20/2025","187.950","176.627","187.950","176.108","5.47M","6.63%"
"08/19/2025","176.268","182.808","185.788","175.804","5.04M","-3.63%"
"08/18/2025","182.916","191.099","191.320","180.121","5.26M","-4.25%"
"08/17/2025","191.032","189.637","195.765","187.453","3.55M","0.73%"
"08/16/2025","189.652","185.584","190.006","185.252","3.02M","2.07%"
"08/15/2025","185.811","192.392","198.062","183.487","6.49M","-3.47%"
"08/14/2025","192.498","201.463","209.798","187.554","13.79M","-4.43%"
"08/13/2025","201.419","191.537","204.871","191.487","10.69M","5.04%"
"08/12/2025","191.747","175.161","193.680","173.725","7.41M","9.67%"
"08/11/2025","174.836","182.452","186.774","173.530","6.28M","-4.31%"
"08/10/2025","182.703","180.041","186.167","177.588","6.57M","1.53%"
"08/09/2025","179.954","176.841","183.278","176.692","5.50M","1.80%"
"08/08/2025","176.765","175.152","179.516","173.504","6.03M","0.78%"
"08/07/2025","175.400","168.037","175.477","166.748","4.98M","4.34%"
"08/06/2025","168.104","163.916","169.891","161.281","3.62M","2.43%"
"08/05/2025","164.111","169.459","171.674","161.535","4.62M","-3.22%"
"08/04/2025","169.579","161.966","169.783","161.291","4.65M","4.69%"
"08/03/2025","161.980","158.728","163.067","156.386","3.42M","2.20%"
"08/02/2025","158.497","163.019","165.244","155.902","3.74M","-2.60%"
"08/01/2025","162.722","172.094","172.148","159.577","7.51M","-5.52%"
"07/31/2025","172.228","177.686","182.630","171.481","4.42M","-3.10%"
"07/30/2025","177.739","181.337","182.526","171.481","4.94M","-2.06%"
"07/29/2025","181.470","182.924","186.567","178.409","3.95M","-0.83%"
"07/28/2025","182.995","188.337","195.001","182.273","6.19M","-2.99%"
"07/27/2025","188.626","184.789","190.605","184.585","3.50M","2.04%"
"07/26/2025","184.855","186.629","189.762","184.452","2.85M","-1.03%"
"07/25/2025","186.772","182.585","186.798","175.922","7.72M","2.14%"
"07/24/2025","182.864","189.131","191.873","179.425","8.09M","-3.44%"
"07/23/2025","189.385","204.971","205.277","184.421","8.65M","-7.96%"
"07/22/2025","205.762","196.076","206.164","194.121","13.15M","5.14%"
"07/21/2025","195.697","181.465","199.020","178.411","10.84M","7.80%"
"07/20/2025","181.529","177.054","183.585","176.399","6.46M","2.54%"
"07/19/2025","177.038","177.193","178.609","174.125","3.97M","-0.13%"
"07/18/2025","177.272","175.967","184.475","173.375","8.96M","0.80%"
"07/17/2025","175.867","173.723","178.070","168.787","7.68M","1.24%"
"07/16/2025","173.707","163.796","175.955","161.602","8.92M","5.92%"
"07/15/2025","164.001","162.117","164.191","157.296","6.26M","1.08%"
"07/14/2025","162.251","160.987","168.544","160.668","6.74M","0.69%"
"07/13/2025","161.132","160.607","164.114","159.667","3.39M","0.27%"
"07/12/2025","160.693","162.930","163.897","157.974","3.52M","-1.38%"
"07/11/2025","162.947","164.153","168.184","159.692","7.32M","-0.83%"
"07/10/2025","164.307","157.087","165.350","155.977","5.89M","4.62%"
"07/09/2025","157.055","151.614","157.898","150.568","4.77M","3.55%"
"07/08/2025","151.675","148.810","152.815","147.873","3.73M","1.87%"
"07/07/2025","148.890","151.884","153.445","147.712","3.41M","-1.96%"
"07/06/2025","151.871","147.580","153.704","146.800","3.25M","2.92%"
"07/05/2025","147.560","147.601","148.641","145.917","1.59M","-0.10%"
"07/04/2025","147.705","152.379","153.680","145.266","3.28M","-3.06%"
"07/03/2025","152.366","152.300","156.281","150.015","4.29M","0.06%"
"07/02/2025","152.280","146.825","154.403","145.960","5.15M","3.65%"
"07/01/2025","146.920","154.979","155.482","144.953","4.77M","-5.12%"
"06/30/2025","154.841","153.343","159.511","149.500","7.16M","0.97%"
"06/29/2025","153.350","150.874","154.660","149.402","3.29M","1.74%"
"06/28/2025","150.723","142.057","152.518","141.174","3.95M","6.07%"
"06/27/2025","142.100","138.999","144.637","137.360","3.99M","2.18%"
"06/26/2025","139.068","143.569","147.821","138.697","4.25M","-3.14%"
"06/25/2025","143.572","145.863","147.874","142.410","4.23M","-1.60%"
"06/24/2025","145.903","144.436","146.585","142.349","4.87M","0.99%"
"06/23/2025","144.476","131.610","146.726","130.872","8.11M","9.63%"
"06/22/2025","131.781","135.893","137.508","126.271","7.72M","-2.69%"
"06/21/2025","135.430","140.012","142.555","131.547","4.77M","-3.29%"
"06/20/2025","140.034","147.076","148.736","136.140","5.84M","-4.78%"
"06/19/2025","147.060","146.520","147.900","142.968","3.37M","0.48%"
"06/18/2025","146.363","147.662","149.147","143.897","4.81M","-0.78%"
"06/17/2025","147.521","150.266","154.291","145.703","6.95M","-2.01%"
"06/16/2025","150.550","152.748","158.667","150.402","6.82M","-1.57%"
"06/15/2025","152.945","144.713","153.315","144.245","5.25M","5.74%"
"06/14/2025","144.649","148.488","148.621","142.102","3.14M","-2.67%"
"06/13/2025","148.614","152.426","152.426","141.082","9.27M","-2.48%"
"06/12/2025","152.398","160.796","161.250","152.091","4.64M","-5.35%"
"06/11/2025","161.019","165.017","168.305","159.237","7.02M","-2.48%"
"06/10/2025","165.108","161.104","165.557","156.507","5.85M","2.48%"
"06/09/2025","161.119","152.458","161.610","149.649","4.66M","5.67%"
"06/08/2025","152.471","150.079","155.022","148.064","2.49M","1.58%"
"06/07/2025","150.094","147.848","152.813","146.956","2.26M","1.59%"
"06/06/2025","147.751","144.414","152.263","144.282","3.59M","2.38%"
"06/05/2025","144.314","153.217","154.581","141.685","6.83M","-5.84%"
"06/04/2025","153.260","155.204","157.873","153.015","3.29M","-1.27%"
"06/03/2025","155.226","156.542","163.309","154.279","4.99M","-1.02%"
"06/02/2025","156.832","157.613","158.930","151.848","4.45M","-0.55%"
"06/01/2025","157.702","156.491","157.869","150.703","3.67M","0.79%"
"05/31/2025","156.464","156.385","157.945","152.188","3.99M","0.16%"
"05/30/2025","156.210","167.189","167.461","155.563","6.37M","-6.32%"
"05/29/2025","166.741","172.135","175.221","166.097","4.62M","-3.19%"
"05/28/2025","172.234","176.764","177.410","169.013","4.25M","-2.52%"
"05/27/2025","176.692","174.875","179.369","171.454","4.60M","0.99%"
"05/26/2025","174.959","175.742","178.990","173.521","3.55M","-0.45%"
"05/25/2025","175.741","176.100","176.851","169.215","4.19M","-0.09%"
"05/24/2025","175.900","174.257","178.296","172.722","3.54M","1.11%"
"05/23/2025","173.970","179.724","187.634","173.439","10.12M","-3.18%"
"05/22/2025","179.691","173.527","180.756","172.696","6.04M","3.49%"
"05/21/2025","173.640","168.483","175.724","165.870","7.47M","3.00%"
"05/20/2025","168.589","166.972","172.972","164.626","5.25M","1.04%"
"05/19/2025","166.849","173.189","173.624","159.749","6.58M","-3.78%"
